name,designation,speciality,location,fee
Dr. Mirza Mudassar Baig,N/A,Skin Specialists | Dermatologists,"Mudassar medical & laser skin care associates                 Eden value homes c block street 22 house 5 Multan road.  Thokar Niaz Baig , Lahore",Fee: Rs 2000
Lt Col Dr  Shahid Mahmud,Child Specialist,"Child Specialist,Neonatologist,Paediatric Neurology","CMH Hospital                  Cantt , karachi",Fee: Rs 1000
Dr Syed Imtiaz Ali,Surgeon Commander (R),Urologists,"Ashfaq Memorial Hospital                 Gulshan-e-Iqbal,Main University Road,Karachi.   Gulshan-e-Iqbal , karachi",
Prof. Dr Abdul Gaffar Billoo,N/A,Pediatricians,"Memon Medical Institute Hospital                Hyder Buksh Gabol Road,Safoora Goth, Karachi.  Safoora Goth , karachi",
Dr Sajid Dhakam,N/A,Cardiologists,"South City Hospita                Street 1, Block 3, Sharah-e-Firdous, Clifton, Karachi.   Clifton , karachi",
Dr Tehmina Javed,N/A,Gynecologists,"Kanan Clinic                Aiwan-I-Tajarat RoadOpposite Bagh-e-JinnahLahore.  Aiwan-i-Tajarat Road , Lahore",
Dr. Nauman Ahmad Gill,N/A,"Hair Transplant Surgeon,Plastic & Aesthetic Surgeon","Laser Praxis,                 50 D-1/A, off M. M. Alam Road, Gulberg III, Lahore.  Gulberg 3 , Lahore",
Dr Muhammad Irfan Nazir,PCNL & Infertility Specialist,Urologists,"WILCARE Cardiovascular & Endocrine Center of Excellence                Model Town Extension, Lahore.  Model Town Extension , Lahore",
Dr Jahan Ara,N/A,Gynecologists,"Mid City Hospital                3-A Shadman II, Jail RoadOpposite Kinaird College, Lahore , Pakistan.  Shadman  , Lahore",
Dr Sajjad Ali,N/A,ENT Specialist,"Private Clinic                   Hoti Chowk , Mardan",
Gynaecologist laparoscopic lady Surgeon Dr Rehana Iftikhar,N/A,Gynecologists,"Fatima Medical Complex Daska                Main Circular Road Daska  Daska ,",Fee: Rs 500
