name,designation,speciality,location,fee
Dr. Chaudhary Mohammad Khalil,N/A,Skin Specialists | Dermatologists,"Hamza Medical Centre                Hamza Medical CentreNear Khalid Medical Store Kot Khawaja Saeed Lahore   , Lahore",Fee: Rs 3000
Dr. Raheel Ahmed,N/A,Dentist,"Raheel Dental Surgery                13th, Neelam Road, G-9/3, Islamabad.  G-9 , Islamabad",
Dr. Shaukat Ali Sheikh,N/A,General Surgeon,"Ahmad Medical Complex                70-C Satellite Town, Sadiqabad Road, Rawalpindi.  Satellite Town , Rawalpindi",
Dr. Asghar Janjua,N/A,Skin Specialists | Dermatologists,"53 Gulshan Hayat Colony, Near D.H.Q. Hospital,  Sargodha.  Gulshan Hayat Colony , Sargodha",
Dr. Qudsia Kanwal,N/A,Dentist,"Margalla Dental Hospital                Operative Dentistry DepartmentQuaid-e-Azam Avenue, Gulrez Phase III, Rawalpindi.  Gulrez Phase III , Rawalpindi",
Dr. Manzoor ul Qayyum,N/A,Skin Specialists | Dermatologists,"Office No. 1, Ground Floor, Chouburgi Centre, Near old Venus Cinema, Multan Road, Lahore.  Multan Road , Lahore",
Dr. Shaukat Nawaz Khan,N/A,General Surgeon,"Quaid-e-Azam International Hospital                General SurgeryNear Golra Mor, Peshawar Road, Islamabad.  Near Golra Mor , Islamabad",
Maj Gen ( Retd) Prof. Jawad Khaliq Ansari,N/A,Pulmonologist,"Shalimar Clinic                 First Floor, Rafey Mall, Chore Chowk, Peshawar Road, Rawalpindi   , Rawalpindi",Fee: Rs 1200
Consultant  Dr. Vaqar Ilahi Paracha,N/A,Cardiac Surgeon,"Armed Forces Institute of Cardiology                Peshawar Rd,  Rawalpindi.   Peshawar Rd , Rawalpindi",
Dr. Mohammad Akmal Madni,N/A,Cardiologist,"Multan Diabetes and Heart Clinic                 Nishtar Road    Al Khaliq Hospital  , Multan",
Dr. Mazhar Hussain Raja,N/A,Pediatrician,"Shifa International Hospital                 Pitras Bukhari Road, Islamabad.  Pitras Bukhari Rd , Islamabad",Fee: Rs 2000
Dr. Shaukat Ali Shah,N/A,Anesthesiologist,"Maryam Hospital                Raja Haq Nawaz Plaza, G-11 Markaz, Islamabad.  G-11  , Islamabad",
Dr. Ahmed Aziz Niazi,Maxillofacial Surgeon,Dentist,"Niazi Dental Clinic                H-1380, Main Airport Road, Jhanda Chichi, Rawalpindi.  Jhanda Chichi , Rawalpindi",
Prof. Shahid Javaid Akhtar,N/A,Skin Specialists | Dermatologists,", Faisalabad",
Dr Abdul Fatah Dero,N/A,Diabetologists,"Rehman Diabetic Clinic                546/2, Soldier Bazar, Saddar, Hyderabad.  Saddar , Hyderabad",
Dr. Amanullah,N/A,Cardiologist/Physician,"Maryam Diagnostic Centre                7B Shadman II, near PIC Hospital Parking, Jail Road   Jail Road , Lahore",Fee: Rs 1500
Dr Amir M Ijaz,N/A,Cardiologists,"Naseer Hospital                 16-Ahmad Block New Garden Town Lahore.  New Garden Town , Lahore",
Dr Shahid Masood Khan,N/A,ENT Specialist,"Ittefaq Hospital                 Near H- Block, Model Town, Lahore.  Model Town , Lahore",
Dr. Salman Naseem Adil,N/A,Hematologist,"The Aga Khan University Hospital                 CC Ibn-e-Zuhr -1 , A.K.U.H., Stadium Road Karachi.  Stadium Road , karachi",
Dr. Habib Aslam Gaba,N/A,Cardiologists,"Omer Heart Clinic                 864-B, Peoples Colony, Faisalabad.  Peoples Colony , Faisalabad",
Dr. Aqsa Malik,N/A,Dentist,"Quaid-e-Azam International Hospital                Dental DepartmentNear Golra Mor, Adjacent Forebels School, Peshawar Road, Islamabad.  Near Golra Mor , Islamabad",
Muhammad Aslam Memon,N/A,Oncologist,"Quaid-e-Azam Complex                Opposite Police Ground.  Saddar , Hyderabad",
Dr Muhammad Zubair,N/A,Dentist,N/A,N/A
Dr. Kiren Shaheryar,N/A,Skin Specialists | Dermatologists,"Life Care Hospital                 Life Care Hospital. Islamabad   G-10 , Islamabad",
Dr. Arsalan Farooq,N/A,Ophthalmologist,"Eye Clinic PAF Hospital Faisal Base                PAF Hospital Faisal   , karachi",Fee: Rs 600
Professor Dr Mohammad Zafar Rabbani,N/A,ENT Specialist,"Shifa International Hospital                 Pitras Bukhari Road H-8/4, Islamabad.  H-8 ,",
Dr. Sadia Bashir,N/A,Child Specialist,"Begum Akhtar Rukhsana Memorial Welfare Trust                Bahria Town Phase - VIII, Rawalpindi.    Bahria Town Phase - VIII , Rawalpindi",
Dr. Ammara Kashif,N/A,Obstetrics and gynaecology,"Medics Islamabad                Saudi pak tower, blue area,  Islamabad.   F 7 Markaz , Islamabad",Fee: Rs 1500
Dr Syed Muhammad Junaid Akhtar,N/A,Diabetologists,N/A,N/A
Dr. Asma Iqbal,N/A,Gynecologists,"Mamji Hospital                C-19, Block-17, Federal ""B"" Area, Near Water Pump Chowrangi, Karachi   Federal ""B"" Area , karachi",
Dr. Zafira Syed,N/A,Physiotherapist,"Physiotherapy Centre                Saidpur Road, Haidri Chowk, Satellite Town, Rawalpindi.   , Rawalpindi",Fee: Rs 800
Dr Amir Shariff,N/A,General Surgeon,"The Aga Khan University                 Consulting Clinics (JHS Building -Second Floor), Karachi.    Stadium Road , karachi",
Dr. Adil Abbas,N/A,Child Specialist,"RiseNShine                   Mission chonk, Fateh Shere road  , Sahiwal",Fee: Rs 500
Dr. Afsheen Mansoor,N/A,Dentist,"Ali Medical Centre                Kohistan Road, F8 Markaz, Islamabad.   F-8 , Islamabad",
Dr Rabia Ghafoor,"Specialist in Skin, Hair and Nail Diseases Consultant",Skin Specialists | Dermatologists,"Dr. Ziauddin Hospital                4/B, Shahrah-e-Ghalib, Block 6, Clifton, Karachi.  Clifton , karachi",
Dr. Khadim Ullah Kheyal,N/A,Skin Specialists | Dermatologists,"Auqaf Plaza, Dabgari, Peshawar.  DABGARI  , Peshawar",
Dr. Syed Hammad Hassan,N/A,Dentist,"Margalla Dental Hospital                Prosthodontics DepartmentQuaid-e-Azam Avenue, Gulrez Phase III, Rawalpindi.  Gulrez Phase III , Rawalpindi",
Dr. Tahir Hussain Dilawari,N/A,Cardiologists,"Shifa College of Medicine                Pitras Bokhari Road, H-8/4, Islamabad.  H-8 , Islamabad",
Dr. Shoukat Jamal Amerzada,N/A,Skin Specialists | Dermatologists,"Khyber Medical Centre                Dabgari Garden, Peshawar.  Dabgari Garden , Peshawar",
Diabetologist  DR Shahid Hameed,N/A,Diabetologists,"Shalamar Hospital                 Shalimar Link Road.   MughalPura , Lahore",
Dr. S. Abbas Raza,N/A,Diabetologists,"National Hospital & Medical Centre                132/3 , Street 123, Block L, Phase 1, DHA, Lahore.  DHA  , karachi",
Dr Khurram Shahid,N/A,Diabetologists,"National Medical Centre                A-5/A, National Highway,,Near Kala Pul,, Korangi Road, Karachi.  DHA , karachi",
ASSISTANT PROFESSOR DR ASHAR ALAMGIR,DR ASHAR ALAMGIR ENT SURGEON,"Allergy Specialist ,ENT Specialist",N/A,N/A
Dr. Muhammad Haider,N/A,Dentist,"Dr. Haider & Associates Dental Surgeon                43-S, Bank Road, Sadar, Rawalpindi.  Sadar , Rawalpindi",
Dr. Masood Ahmed,N/A,Anesthesiologist,"Rahat Hospital                Main Service Road, Shkriyal, Near Khana Pul, Rawalpindi.  Khana Pul , Rawalpindi",
Dr. Haleema Hashmi,N/A,Gynecologists,"Liaquat National Hospital                National Stadium Road. Karachi.   Stadium Road , karachi",
Dr Sobia Qamar,N/A,Pediatricians,"Liaquat National Hospital                National Stadium Rd, Karachi   National Stadium Rd , karachi",
Dr. Mujtaba Jaffary,N/A,"Gastroenterology, Hepatology","Times Hospital                Opposite Jinnah hospital,146-A/GOR -5,Faisal town Lahore  Faisal Town , Lahore",Fee: Rs 1200
Dr. Omar Anis,N/A,Hepatology gastroentrology,"deen clinic                Behind F-10 main mosque   F-10 markaz, Areej Plaza.  , Islamabad",Fee: Rs 1000
Dr Adeel Aslam,N/A,General Physician,"Mangowal, Karachi.  Mangowal , Gujranwala",
Dr. Zeeshan Perwaiz,N/A,Skin Specialists | Dermatologists,"Bilal Hospital                38-A, Satellite Town, Sadiqabad Road, Rawalpindi.  Satellite Town , Rawalpindi",
Dr. M Shoaib Shafi,N/A,Gastroenrologist/Hepatologist,"Shafi Clinic                55-C Satellite Town Rawalpindi  Chandni Chowk , Rawalpindi",Fee: Rs 1500
Dr Junaid Alam Ansari,N/A,Cardiologists,"South City Hospital                Shahrah-e-Firdousi, Block 3, Clifton, Karachi.  Clifton , karachi",
Assistant Professor  Mohammad Majid paracha,N/A,Skin Specialists | Dermatologists,N/A,N/A
Dr. Imtiaz Hussain,N/A,Dentist,"The Dental Centre                Shahnawaz Plaza, 1st Floor, Office # 3, Upper Al-Rehman Medicose, G-11 Markaz, Islamabad.  G-11 , Islamabad",
Dr. Salman Saeed,N/A,Dentist,"Margalla Dental Hospital                Operative Dentistry Department, Quaid-e-Azam Avenue, Gulrez Phase III, Rawalpindi.   Gulrez Phase III , Rawalpindi",
Dr. Mansoor Mahmood,N/A,Child Specialist,"Maryam Hospital                Surgical Department Raja Haq Nawaz Plaza, G-11 Markaz, Islamabad.  G-11 Markaz , Islamabad",
Dr Ahsan Hameed,N/A,Skin Specialists | Dermatologists,"Shifa International Hospital                Pitras Bukhari Road, H-8/4, H-8, Islamabad.  H-8 , Islamabad",
Dr. Usman Rana,N/A,Dentist,"Perfect Smile Dental Clinic                1A Plaza, Near Shell pertol pump. Opposite Fatima Jinnah Park, F-10 Markaz, Islamabad.  F-10 , Islamabad",
Dr. Kaleem Ullah Thahim,N/A,ENT Specialist,"South City Hospital                Shahrah-e-Firdousi, Block 3, Clifton, Karachi.  Clifton , karachi",
Dr. Javed Aslam,N/A,Dentist,"Bilal Hospital                Dental Department.38-A, Satellite Town, Sadiqabad Road, Rawalpindi.  Satellite Town , Rawalpindi",
Brig (R) Dr. Muzaffar Khan,N/A,Dentist,"Nawaz Memorial Hospital                Morgah More G.T Road, Rawalpindi.  G.T Road  , Rawalpindi",
Dr. Abdul Malik,Senior Registrar Cardiovascular Surgery,Cardiologists,"Lady Reading Hospital                Flat No. C-1, Doctor's Colony, Peshawar.  Doctor's Colony , Peshawar",
Dr Obaidur Rehman,N/A,Skin Specialists | Dermatologists,"National Medical Centre                A-5/A, National Highway, Near Kala Pul, Korangi Road, Karachi.    Korangi Road , karachi",
Dr. Naseem Saeed,N/A,Dentist,"Sara Dental Surgery, Clinic                70, Al-Mustafa Tower, Commercial Area, Scheme III, Rawalpindi.Mon to Sat 5pm to 9Pm+9251-5950211+9251-5500125+9251-5591159  Scheme III , Rawalpindi",
Dr.MOAZZAM ALI,N/A,ENT Specialist,N/A,N/A
Dr Tahir Jamil,N/A,Skin Specialists | Dermatologists,"Cavalry Hospital                44-45 Cavalry Ground Ext, Lahore-Cantt.  Cavalry Ground  , Lahore",
Dr. Imran Arshad,N/A,Dentist,"Moiz Dental Clinic                Shop # 4, Feroze Plaza, Khawaja Market, Street # 57, G-9/4, Islamabad.Mon to Sat 10 AM to 2 AM Mon to Sat 4 PM to 9 PM +92345-5897379+9251-2255739  G-9 , Islamabad",
Dr Naveed Aslam,N/A,ENT Specialist,"Ammar Medical Complex                8-Haroon Shah Scheme, Main Jail Road, Lahore.  Main Jail Road , Lahore",
Dr Khalid Hameed,N/A,Cardiologists,"Doctors Hospital & Medical Center                 152 A-G/1 Canal Bank, Lahore.  Johar Town , Lahore",
Ms. Shifa Ali,N/A,Nutrition/Dietitian,"Ittefaq Hospital                Near H- Block, Model Town, Lahore.  Model Town , Lahore",
Dr. Imran Shahid,N/A,Dentist,"Optident Clinic                Shop # 05, 106 East. Asif Plaza, Fazal-ul-haq Road, Blue Area, Islamabad.   , Islamabad",
Dr Abdul Jabbar,N/A,Diabetologists,"Aga khan university hospital                AKUH Consulting Clinic, Stadium Road.  Stadium Road , karachi",
Dr.Sarah Hussain Khattak,N/A,Dentist,"Quaid-e-Azam International Hospital                Dental DepartmentNear Golra Mor, Adjacent Forebels School, Peshawar Road, Islamabad.  Near Golra Mor , Islamabad",
Dr. Azra Rizwan,N/A,Diabetologists,"Aga Khan University Hospital                 CC Nazerali Walji-2, Stadium Road, Karachi.  Stadium Rd , karachi",
Dr. Abdul Qadir,N/A,General Practitioner,"Khawaja Clinic                F-947, New Kararian Satellite Town, Rawalpindi.  Satellite Town , Rawalpindi",
Dr. Tanveer Abbas,N/A,Dentist,"Oral Care Clinic                 Shop # 12, Zaraj Centre, Guraiz II, Rawalpindi.   , Rawalpindi",
Col. (R) Dr. Sabir Mahmood Khan,N/A,Gastroenterology,"Maryam Memorial Hospital                Medicine and Gastroenterology Department Peshawar Road, Rawalpindi.  Peshawar Road , Rawalpindi",
Dr Jawad Sajid,N/A,Cardiologists,"Ittefaq Hospital                H-Block Modal Town, Lahore  Modal Town , Lahore",
Dr Farhat Rasheed,Consultant Head of Department,Gynecologists,"Ittefaq Hospital                 Near H- Block, Model Town, Lahore.  Model Town , Lahore",
Dr Mah Parveen Qazi,N/A,Gynecologists,"Shifa International Hospital                 Sector H-8/4, Islamabad    H-8 , Islamabad",
DR SANAM SOOMRO,N/A,Gynecologists,"FAUJI FOUNDATION MEDICAL CENTER DHARYALA JALAPTown: P.D.KHAN JEHLUM.  P.D.KHAN , Jhelum",
Dr. Bilal,N/A,ENT Specialist,"ENT Clinic                    , karachi",Fee: Rs 500
Dr. Faisal Shafiq Malik,N/A,Dentist,"The Dental Practice                1st Floor Office # 1, Ghulam Rasool Plaza, Opp. Excel Lab, Fazal-e-haq Road, Blue Area, Islamabad.   Blue Area , Islamabad",
Dr. Ahmed Qayyum,N/A,Dentist,"Qayyum Dental Surgery                Jhanda Chichi, Airport Road, Rawalpindi.  Jhanda Chichi , Rawalpindi",
Dr. Muhammad Ishaque Qureshi,N/A,ENT Specialist,"Ali Medical Centre                Kohistan Road, F8 Markaz, Islamabad.  F8 Markaz , Islamabad",
Dr. Aleem Liaqat,N/A,Physiotherapist,"NMRC Rehabilitation Centre                NMRC, opposite to babri mosque, G-10 Markaz, Islamabad.  G-10 markaz , Islamabad",
Dr. Javed Akhtar,N/A,Pain Management Specialist,"Hassan Medical Center                Iqbal Park, Lahore. Cantt.   Iqbal Park, Lahore Cantt , Lahore",Fee: Rs 1500
Dr. Riffat Sultana,N/A,Cardiologists,"National Medical Centre                A-5/A, National Highway, Phase 1, Defence Housing Authority,Near Kala Pul, Karachi.  DHA , karachi",
Consultant cardiologist Dr. Riaz Zulqernain Aslam,N/A,Cardiologist,"Iqra medical complex                  5-A, Jauhar Town، Maulana Shaukat Ali Rd، Lahore.  Johar Town , Lahore",Fee: Rs 1500
Dr. Muhammad Naeem Khan,N/A,General Practitioner,"Naeem Clinic Dental                Clinic Shop # 3, Block 2/B, Feroz Plaza, Khawaja Market, G-9/4, Islamabad.  G-9 , Islamabad",
Amin Yousaf,N/A,Plastic & Aesthetic Surgeon,N/A,N/A
ABDUL REHMAN ALVI,N/A,General Surgeon,"The Aga Khan University Hospital                 Consulting Clinics (JHS Building -Second Floor), Karachi.  Stadium Road , karachi",
Dr Noureen Sabir Chhipa,N/A,Skin Specialists | Dermatologists,"Imam Clinic                ST-5, Block-I, North Nazimabad, Karachi.   North Nazimabad , karachi",
Dr Abdul Waheed,N/A,Cardiologists,"Surraya Azeem Hospital                 Chowk Choubarji Lahore.  Chowk Choubarji , Lahore",
Dr Naseem Akram,N/A,Gynecologists,"National Medical Centre                Korangi Road, Phase 1, DHA, Karachi.  DHA , karachi",
Dr. Sobia Khateeb,N/A,clinical psychology,"Aga Khan health services of Pakistan                 st.92 near IT center G-9/1 Islambad  G-9 , Islamabad",Fee: Rs 2000
Assistant Professor Dr. Asma Ansari,Classified Specialist,Gynecologists,"Armed Forces Institute of Cardiology                Peshawar Rd, Rawalpindi.   Peshawar Road , Rawalpindi",
Dr. Zahoor Ahmad Awan,N/A,Medical Specialist,"Maryam Memorial Hospital                Medicine Department , Rawalpindi.  Peshawar Road , Rawalpindi",
Dr. Muhammad Qamar Masood,N/A,Diabetologists,"Aga Khan University Hospital                Stadium Road, Karachi.  Stadium Road , karachi",
Dr Arshad Chohan,N/A,ENT Specialist,N/A,N/A
Dr. Junaid .A. Peerzadah,N/A,Diabetes and Endocrine,N/A,N/A
Dr. Amir M. Jan,N/A,ENT Specialist,"Capital Clinic                21-E, Huma Plaza, Blue Area, Islamabad.   Blue Area , Islamabad",
Younus,N/A,Dentist,N/A,N/A
Dr. Saqba Hassan Afridi,N/A,Dentist,"Margalla Dental Hospital                Orthodontics Department,Quaid-e-Azam Avenue, Gulrez Phase III, Rawalpindi.  Gulrez Phase III , Rawalpindi",
Maj (R) Dr. Sultan Mehmood Ahmd TI (M),N/A,Child Specialist,"Dental Point                Clinic Gulraiz-6, Opposite Safari Hospital, Inside Gulraiz Gate No 1, Rawalpindi.  Gulraiz-6 , Rawalpindi",
Dr. Bashir Ahmed,N/A,ENT Specialist,"OPD Complex                ENT and Head & Neck Surgery DepartmentJhelum Road, Near Bahria Phase VIII Gate, Sawan, Rawalpindi.   Bahria Phase VIII , Rawalpindi",
Dr Tariq Azam Siddiqui,N/A,Cardiologists,"National Medical Center                A-5/A, National Highway,,Near Kala Pul,, Korangi Road, Karachi.  DHA , karachi",
DR. RASHID JAHANGER,N/A,Pathologist,"G-9 Markaz                Office No. 7, 1st Floor Laraib Centre G9 Markaz Islamabad  Prime Health Labs , Islamabad",
Dr. Aasma tayyab khan,American Certified Aesthetic physician and Laser therapy specialist,Skin Specialists | Dermatologists,"cosmetic laser and skin clinic                house # 1, street # 62.    Sector f-8/4 , Islamabad",Fee: Rs 1500
Dr Lubna Riaz Dar,N/A,Gynecologists,"Shalamar Hospital                Shalimar Link Road, Mughalpura, Lahore.  MughalPura , Lahore",
Dr Farkhanda Qadir,N/A,Gynecologists,"Batool General Hospital                A-197, Block 5, Gulistan-e-Jauhar, Karachi.  Gulistan-e-Jauhar , karachi",
DR ADEEL AHMED,N/A,Oncologist,"Kiran Hospital                   , karachi",
Dr. Naushin Aslam,N/A,Dentist,"Ali Medical Centre                Kohistan Road, F8 Markaz, Islamabad.  F-8 , Islamabad",
Dr. Wisal Khan Babar,N/A,General Practitioner,"Babar Medical Centre                Clinic 3, Sarwar Road, Rawalpindi Cantt.  Sarwar Road , Rawalpindi",
Dr Ikram Ullah Khan,N/A,Skin Specialists | Dermatologists,"Shifa International Hospital                Pitras Bukhari Road, H-8/4, H-8, Islamabad.  H-8 , Islamabad",
Dr. Muhammad Naeem Ul Haque,N/A,Diabetologists,"Aga Khan University Hospital                CC Nazerali Walji-2, A.K.U.H., Stadium Road.  CC Nazerali , karachi",
Dr Zohra Samad,N/A,Gynecologists,"National Medical Center                 A-5/A, National Highway, Phase 1, Defence Housing Authority,Near Kala Pul, Karachi.  DHA , karachi",
Dr. Saba's Skin Clinic,N/A,Skin Specialists | Dermatologists,N/A,N/A
Dr. Behram Khan,N/A,Cardiologists,"Bolan Medical College                12-Khojak House, White Road , Quetta.  White Road , Quetta",
Dr. Shariq Ali Khan,N/A,Dental surgeon,"Sherwani Dental Associates                8 - B Model Town  Model Town , Lahore",Fee: Rs 500
Assisstant Professor Dr. Majid Dastgir,N/A,ENT Specialist,"ENT Department CMH                  Near Attock , Tarbela",Fee: Rs 600
Dr Ghareeb Nawaz,N/A,ENT Specialist,"Khyber Medical Centre                Kohat Road, Lakar Mundi, Peshawar.  Lakar Mandi , Peshawar",
Hamza Khan,N/A,ENT Specialist,N/A,N/A
Dr.Pervaiz Jaffri,Ent specialist,,"ENT clinic                Facility address near ahle hadis masjid in Ifra lab  Pacca Qila hyd , Hyderabad",Fee: Rs 300
Dr Amanullah Memon,N/A,Urologists,"The Aga Khan University Hospital                JHS Building 1st Floor, karachi.    National Stadium Road , karachi",
Dr Hassan Iqbal,"Associate Professor of ENT, Nishtar Medical College",ENT Specialist,"Rehman Medical Complex                Nishtar Road Multan,  Pakistan.  Nishtar Road , Multan",
Dr. zahoor ahmad,N/A,,"Pakistan Rawalway hospital                 lane no#07 street 01 near Westridge,peshawer road  Rawalpindi.  Westridge , Islamabad",Fee: Rs 1000
Dr Jaweed Akhter,N/A,Diabetologists,"The Aga Khan University Hospital                 Stadium Road, Karachi.   , karachi",
Dr Ghazala Sadiq,N/A,Gynecologists,"Quaid-e-Azam International Hospital                Near Golra Morr, Peshawar Road, Islamabad.  Near Golra Mor , Rawalpindi",
Dr Zulfiqar A Butt,Transplant Surgeon,Urologists,"Bilal Hospital                38-A, Satellite Town, Sadiqabad Road, Rawalpindi  Satellite Town , Rawalpindi",
Col. (R) Dr. Asma Khalid SI(M),N/A,Gynecologists,"Maryam Memorial Hospital                Peshawar Road, Rawalpindi.  Peshawar Road , Rawalpindi",
Dr. Junaid .A. Peerzadah,N/A,Diabetes and Endocrine,N/A,N/A
Dr.,N/A,psychologist,"ziauddin Medical University Hospital                Plot No. 33, Behind Kpt Hospital, Keamari,  Karachi, Pakistan.  Ph:(9221) 32851881-5   , karachi",Fee: Rs 1000
Dr. Syed Tauseef-ul-Hassan,N/A,Dentist,"Islamabad Dental Clinic                Civic Centre, G-6, Melody Market, Islamabad.  G-6 , Islamabad",
Dr. Fasih Ullah Mir,N/A,ENT Specialist,"ENT Hospital                A/28 Malir Kalaboard Karachi (opp. Saudabad Police station), Karachi.   Malir Kalaboard  , karachi",
Dr Ghazala Mahmood,N/A,Gynecologists,"Shifa International Hospital                Pitras Bukhari Road, H-8/4, H-8, Islamabad/Rawalpindi.   H-8 , Islamabad",
Dr Prof Ijaz Hussain,N/A,Skin Specialists | Dermatologists,"Hameed Latif Hospital                14- Abu Baker Block New Garden Town, Lahore.  New Garden Town , Lahore",
Dr. Umar Farooq Marwat,N/A,Dentist,"Islamabad Dental Specialists Clinic                  Dental Department.Office No 12-13, 1st Floor, Lords Trading Center, F-11 Markaz, Islamabad.  F-11  , Islamabad",
Dr. Uzair Luqman,N/A,Dentist,"Margalla Dental Hospital                Oral Surgery DepartmentQuaid-e-Azam Avenue, Gulrez Phase III, Rawalpindi.  Gulrez Phase III , Rawalpindi",
Dr. Muhammad Hussain,N/A,"Intensive Care, chest & medical specialist","Masood hospital                Feroz pur road Kalma chowk opposite to Daewoo bus stop    OPD1 , Lahore",Fee: Rs 1500
Consultant Gynaecologist Dr Tayyaba Imran,N/A,Gynecologists,"Ittefaq Hospital                 Near H Block, Model Town, Lahore.  Model Town , Lahore",
Dr. Syed Anis Khalid,N/A,General Practitioner,"Khalid Clinic & laboratory                Sarfaraz Khan Road, Mohalla Waris Khan, Rawalpindi.  Mohalla Waris Khan , Rawalpindi",
Dr. M. Asif Siddiqui,N/A,General Practitioner,"Hamza Clinic                Basement Abdullah Bin Masood Masjid, G-9 Markaz, Karachi Company, Islamabad.  G-9 , Islamabad",
Dr Amin Yousaf,N/A,Plastic & Aesthetic Surgeon,N/A,N/A
Prof Dr Muhammad Amjad,N/A,ENT Specialist,"Mid City Hospital                3-A Shadman II, Jail RoadOpposite Kinaird College, Lahore , Pakistan.	  Shadman II , Lahore",
UMAR NADEEM,N/A,Cardiologists,N/A,N/A
Dr. Abdul Manan Shahid,N/A,Dentist,"Islamabad Dental Specialist                Office No 12-13,1St Floor, Lords Trading Center, F-11 Markaz, Islamabad.  F-11 Markaz , Islamabad",
Dr Shahzad Ali,N/A,Urologists,"A-5/A, National Highway, Phase 1, Defence Housing Authority,Near Kala Pul, Karachi.   DHA , karachi",
Dr Rubina Hussain,N/A,Gynecologists,"Ziauddin Hospital                Ziauddin Hospital, North Nazimabad, Karachi.  North Nazimabad , karachi",
Lt. Col (R) Dr. Saleem Mushtaq Chaudhry,N/A,Anesthesiologist,"Wapda Hospital                Marir Chowk, Rawalpindi.  Marir Chowk , Rawalpindi",
Dr. Riaz Anwar Khan,Associate Professor of Cardiovascular Surgery,Cardiologists,"Lady Reading Hospital                Postgraduate Medical Institute,Lady Reading Hospital, Peshawar.Residence: H No 1 Street No 1, Sector H-1, Phase-II,Hayatabad Peshawar.  Hayatabad  , Peshawar",
Dr Anwar Suhail,N/A,ENT Specialist,"The Aga Khan University Hospital                 JHS Building - Ground Floor, Karachi.    Stadium Road , karachi",
Dr. Muhammad Fahim Awan,N/A,ENT Specialist,"Akram Medical Complex                ENT Department, 2-B, Main Gulberg, Ayesha Sadiqa Road, Lahore.  Main Gulberg  , Lahore",
Dr Mumtaz Lakhani,N/A,Pediatricians,N/A,N/A
Dr Sadia Ahsan Pal,N/A,Gynecologists,"OMI Hospital                Kiyani Shaheed Road, Gazdarabad, Karachi  Gazdarabad , karachi",
Dr Khurshid Shabbir Raja,N/A,Gynecologists,"Shifa International Hospital                Pitras Bukhari Road, H-8/4, H-8, Islamabad/Rawalpindi.   H-8 , Islamabad",
Dr. Hamid Ali,N/A,Dentist,"Oral Care                Clinic: Shop # 12, Zaraj Centre, Gulraiz II, Rawalpindi.  Gulraiz II , Rawalpindi",
Dr Rasheeda Ghaffar,N/A,Gynecologists,"Saifee Hospital                 Block F, North Nazimabad, Karachi.  North Nazimabad , karachi",
Dr Shafqat Hassan,Cardiothoracic Surgeon,Cardiologists,"Patel Hospital                Block 4, Gulshan-e-Iqbal, Karachi.  Gulshan-e-Iqbal , karachi",
Dr. Usman Ahmed,N/A,Dentist,"Margalla Dental Hospital                Orthodontics Dental and Materials Department,Quaid-e-Azam Avenue, Gulrez Phase III, Rawalpindi.  Gulrez Phase III , Rawalpindi",
Dr. Ajmal Osman,N/A,Medical Specialist,"Maryam Hospital                Raja Haq Nawaz Plaza, G-11 Markaz, Islamabad.   G-11  , Islamabad",
Dr Aisha Shaikh,N/A,Diabetologists,"The Aga Khan University Hospital                 CC Nazerali Walji-1Stadium Road, Karachi.  Stadium Rd , karachi",
Brig (R) Muhammad Afzal Naz SI (M),N/A,Ophthalmologist,N/A,N/A
Dr. Anjum Naveed,N/A,ENT Specialist,"The Indus Hospital                 Plot C-76, Sector 31/5,Opposite Darussalam Society, Korangi Crossing, Karachi.   Korangi Crossing , karachi",
Dr Prof Abdul Aziz,N/A,Paediatric,N/A,N/A
Dr. Farooq Ahmed Choudhry,N/A,Dentist,"Capital Dental Clinic                F-4, First Floor Sardar Arcade, Near Bank Alfalah, G-11 Markaz, Islamabad.  G-11 Markaz , Islamabad",
Dr. Syed Mumtaz Ali Shah,N/A,Cardiologists,"Quaid-e-Azam International Hospital                Cardiology Department,Near Golra Mor, Adjacent Forebels School, Peshawar Road, Islamabad.  Near Golra Mor , Islamabad",
ikram khan,N/A,Gynecologists,N/A,N/A
Dr. Fazila zeshan,N/A,Dentist,"Margalla Dental Hospital                Oral & Maxillofacial Surgery DepartmentQuaid-e-Azam Avenue, Gulrez Phase III, Rawalpindi.  Gulrez Phase III , Rawalpindi",
Brig Farrukh Hayat Khan,N/A,Psychiatrist,N/A,N/A
Dr. Zulkifal Awan,N/A,ENT Specialist,"Islamabad ENT Clinic                Shop # 13, Huma Plaza, Fazal-e-Haq Road, (Opp. Polyclinic Hospital), Islamabad.  Fazal-e-Haq Road , Islamabad",
Dr. Sahibzada Mehmood Noor,N/A,Skin Specialists | Dermatologists,"Abaseen Hospital                Dabgari Garden, Peshawar.  Dabgari Garden , Peshawar",
Dr Saeed Ahmed Mahar,N/A,Diabetologists,"MAHAR MEDICAL CENTER                F – 50 A, Block 4, Clifton, Karachi.  Clifton , karachi",
Dr Shaukat Mahmood Hotiana,Laser & Skin Specialist,Skin Specialists | Dermatologists,"Mid City Hospital                3-A Shadman II, Jail RoadOpposite Kinaird College, Lahore.   Shadman ll , Lahore",
Prof. Dr. Muhammad Azeem Aslam,N/A,ENT Specialist,"MaxHealth Hospital                  G-8 Markaz , Islamabad",
